"Area","MTU","Solar  - Actual Aggregated [MW]"
"Austria (AT)","01.01.2016 00:00 - 01.01.2016 00:15 (UTC)","0"
"Austria (AT)","01.01.2016 00:15 - 01.01.2016 00:30 (UTC)","0"
"Austria (AT)","01.01.2016 00:30 - 01.01.2016 00:45 (UTC)","0"
"Austria (AT)","01.01.2016 00:45 - 01.01.2016 01:00 (UTC)","0"
"Austria (AT)","01.01.2016 01:00 - 01.01.2016 01:15 (UTC)","0"
"Austria (AT)","01.01.2016 01:15 - 01.01.2016 01:30 (UTC)","0"
"Austria (AT)","01.01.2016 01:30 - 01.01.2016 01:45 (UTC)","0"
"Austria (AT)","01.01.2016 01:45 - 01.01.2016 02:00 (UTC)","0"
"Austria (AT)","01.01.2016 02:00 - 01.01.2016 02:15 (UTC)","0"
"Austria (AT)","01.01.2016 02:15 - 01.01.2016 02:30 (UTC)","0"
"Austria (AT)","01.01.2016 02:30 - 01.01.2016 02:45 (UTC)","0"
"Austria (AT)","01.01.2016 02:45 - 01.01.2016 03:00 (UTC)","0"
"Austria (AT)","01.01.2016 03:00 - 01.01.2016 03:15 (UTC)","0"
"Austria (AT)","01.01.2016 03:15 - 01.01.2016 03:30 (UTC)","0"
"Austria (AT)","01.01.2016 03:30 - 01.01.2016 03:45 (UTC)","0"
"Austria (AT)","01.01.2016 03:45 - 01.01.2016 04:00 (UTC)","0"
"Austria (AT)","01.01.2016 04:00 - 01.01.2016 04:15 (UTC)","0"
"Austria (AT)","01.01.2016 04:15 - 01.01.2016 04:30 (UTC)","0"
"Austria (AT)","01.01.2016 04:30 - 01.01.2016 04:45 (UTC)","0"
"Austria (AT)","01.01.2016 04:45 - 01.01.2016 05:00 (UTC)","0"
"Austria (AT)","01.01.2016 05:00 - 01.01.2016 05:15 (UTC)","0"
"Austria (AT)","01.01.2016 05:15 - 01.01.2016 05:30 (UTC)","0"
"Austria (AT)","01.01.2016 05:30 - 01.01.2016 05:45 (UTC)","0"
"Austria (AT)","01.01.2016 05:45 - 01.01.2016 06:00 (UTC)","0"
"Austria (AT)","01.01.2016 06:00 - 01.01.2016 06:15 (UTC)","8"
"Austria (AT)","01.01.2016 06:15 - 01.01.2016 06:30 (UTC)","8"
"Austria (AT)","01.01.2016 06:30 - 01.01.2016 06:45 (UTC)","8"
"Austria (AT)","01.01.2016 06:45 - 01.01.2016 07:00 (UTC)","8"
"Austria (AT)","01.01.2016 07:00 - 01.01.2016 07:15 (UTC)","9"
"Austria (AT)","01.01.2016 07:15 - 01.01.2016 07:30 (UTC)","12"
"Austria (AT)","01.01.2016 07:30 - 01.01.2016 07:45 (UTC)","15"
"Austria (AT)","01.01.2016 07:45 - 01.01.2016 08:00 (UTC)","17"
"Austria (AT)","01.01.2016 08:00 - 01.01.2016 08:15 (UTC)","25"
"Austria (AT)","01.01.2016 08:15 - 01.01.2016 08:30 (UTC)","33"
"Austria (AT)","01.01.2016 08:30 - 01.01.2016 08:45 (UTC)","41"
"Austria (AT)","01.01.2016 08:45 - 01.01.2016 09:00 (UTC)","49"
"Austria (AT)","01.01.2016 09:00 - 01.01.2016 09:15 (UTC)","59"
"Austria (AT)","01.01.2016 09:15 - 01.01.2016 09:30 (UTC)","67"
"Austria (AT)","01.01.2016 09:30 - 01.01.2016 09:45 (UTC)","75"
"Austria (AT)","01.01.2016 09:45 - 01.01.2016 10:00 (UTC)","83"
"Austria (AT)","01.01.2016 10:00 - 01.01.2016 10:15 (UTC)","90"
"Austria (AT)","01.01.2016 10:15 - 01.01.2016 10:30 (UTC)","96"
"Austria (AT)","01.01.2016 10:30 - 01.01.2016 10:45 (UTC)","103"
"Austria (AT)","01.01.2016 10:45 - 01.01.2016 11:00 (UTC)","109"
"Austria (AT)","01.01.2016 11:00 - 01.01.2016 11:15 (UTC)","112"
"Austria (AT)","01.01.2016 11:15 - 01.01.2016 11:30 (UTC)","115"
"Austria (AT)","01.01.2016 11:30 - 01.01.2016 11:45 (UTC)","118"
"Austria (AT)","01.01.2016 11:45 - 01.01.2016 12:00 (UTC)","120"
"Austria (AT)","01.01.2016 12:00 - 01.01.2016 12:15 (UTC)","118"
"Austria (AT)","01.01.2016 12:15 - 01.01.2016 12:30 (UTC)","115"
"Austria (AT)","01.01.2016 12:30 - 01.01.2016 12:45 (UTC)","112"
"Austria (AT)","01.01.2016 12:45 - 01.01.2016 13:00 (UTC)","110"
"Austria (AT)","01.01.2016 13:00 - 01.01.2016 13:15 (UTC)","101"
"Austria (AT)","01.01.2016 13:15 - 01.01.2016 13:30 (UTC)","92"
"Austria (AT)","01.01.2016 13:30 - 01.01.2016 13:45 (UTC)","82"
"Austria (AT)","01.01.2016 13:45 - 01.01.2016 14:00 (UTC)","73"
"Austria (AT)","01.01.2016 14:00 - 01.01.2016 14:15 (UTC)","62"
"Austria (AT)","01.01.2016 14:15 - 01.01.2016 14:30 (UTC)","50"
"Austria (AT)","01.01.2016 14:30 - 01.01.2016 14:45 (UTC)","39"
"Austria (AT)","01.01.2016 14:45 - 01.01.2016 15:00 (UTC)","28"
"Austria (AT)","01.01.2016 15:00 - 01.01.2016 15:15 (UTC)","22"
"Austria (AT)","01.01.2016 15:15 - 01.01.2016 15:30 (UTC)","17"
"Austria (AT)","01.01.2016 15:30 - 01.01.2016 15:45 (UTC)","12"
"Austria (AT)","01.01.2016 15:45 - 01.01.2016 16:00 (UTC)","8"
"Austria (AT)","01.01.2016 16:00 - 01.01.2016 16:15 (UTC)","7"
"Austria (AT)","01.01.2016 16:15 - 01.01.2016 16:30 (UTC)","7"
"Austria (AT)","01.01.2016 16:30 - 01.01.2016 16:45 (UTC)","7"
"Austria (AT)","01.01.2016 16:45 - 01.01.2016 17:00 (UTC)","7"
"Austria (AT)","01.01.2016 17:00 - 01.01.2016 17:15 (UTC)","7"
"Austria (AT)","01.01.2016 17:15 - 01.01.2016 17:30 (UTC)","7"
"Austria (AT)","01.01.2016 17:30 - 01.01.2016 17:45 (UTC)","7"
"Austria (AT)","01.01.2016 17:45 - 01.01.2016 18:00 (UTC)","7"
"Austria (AT)","01.01.2016 18:00 - 01.01.2016 18:15 (UTC)","0"
"Austria (AT)","01.01.2016 18:15 - 01.01.2016 18:30 (UTC)","0"
"Austria (AT)","01.01.2016 18:30 - 01.01.2016 18:45 (UTC)","0"
"Austria (AT)","01.01.2016 18:45 - 01.01.2016 19:00 (UTC)","0"
"Austria (AT)","01.01.2016 19:00 - 01.01.2016 19:15 (UTC)","0"
"Austria (AT)","01.01.2016 19:15 - 01.01.2016 19:30 (UTC)","0"
"Austria (AT)","01.01.2016 19:30 - 01.01.2016 19:45 (UTC)","0"
"Austria (AT)","01.01.2016 19:45 - 01.01.2016 20:00 (UTC)","0"
"Austria (AT)","01.01.2016 20:00 - 01.01.2016 20:15 (UTC)","0"
"Austria (AT)","01.01.2016 20:15 - 01.01.2016 20:30 (UTC)","0"
"Austria (AT)","01.01.2016 20:30 - 01.01.2016 20:45 (UTC)","0"
"Austria (AT)","01.01.2016 20:45 - 01.01.2016 21:00 (UTC)","0"
"Austria (AT)","01.01.2016 21:00 - 01.01.2016 21:15 (UTC)","0"
"Austria (AT)","01.01.2016 21:15 - 01.01.2016 21:30 (UTC)","0"
"Austria (AT)","01.01.2016 21:30 - 01.01.2016 21:45 (UTC)","0"
"Austria (AT)","01.01.2016 21:45 - 01.01.2016 22:00 (UTC)","0"
"Austria (AT)","01.01.2016 22:00 - 01.01.2016 22:15 (UTC)","0"
"Austria (AT)","01.01.2016 22:15 - 01.01.2016 22:30 (UTC)","0"
"Austria (AT)","01.01.2016 22:30 - 01.01.2016 22:45 (UTC)","0"
"Austria (AT)","01.01.2016 22:45 - 01.01.2016 23:00 (UTC)","0"
"Austria (AT)","01.01.2016 23:00 - 01.01.2016 23:15 (UTC)","0"
"Austria (AT)","01.01.2016 23:15 - 01.01.2016 23:30 (UTC)","0"
"Austria (AT)","01.01.2016 23:30 - 01.01.2016 23:45 (UTC)","0"
"Austria (AT)","01.01.2016 23:45 - 02.01.2016 00:00 (UTC)","0"
"Austria (AT)","02.01.2016 00:00 - 02.01.2016 00:15 (UTC)","0"
"Austria (AT)","02.01.2016 00:15 - 02.01.2016 00:30 (UTC)","0"
"Austria (AT)","02.01.2016 00:30 - 02.01.2016 00:45 (UTC)","0"
"Austria (AT)","02.01.2016 00:45 - 02.01.2016 01:00 (UTC)","0"
"Austria (AT)","02.01.2016 01:00 - 02.01.2016 01:15 (UTC)","0"
"Austria (AT)","02.01.2016 01:15 - 02.01.2016 01:30 (UTC)","0"
"Austria (AT)","02.01.2016 01:30 - 02.01.2016 01:45 (UTC)","0"
