datetime,AT_solar_generation_actual
2015-01-01,719.87
2015-01-02,1117.48
2015-01-03,1282.19
2015-01-04,896.63
2015-01-05,1104.0
2015-01-06,1229.83
2015-01-07,1116.18
2015-01-08,1292.58
2015-01-09,2061.74
2015-01-10,2510.51
2015-01-11,1429.31
2015-01-12,2020.82
2015-01-13,2948.38
2015-01-14,2309.71
2015-01-15,2117.91
2015-01-16,2722.83
2015-01-17,1749.32
2015-01-18,1996.84
2015-01-19,1760.86
2015-01-20,1380.47
2015-01-21,2608.65
2015-01-22,2283.32
2015-01-23,2134.25
2015-01-24,1584.8799999999999
2015-01-25,1454.28
2015-01-26,2585.02
2015-01-27,2027.8799999999999
2015-01-28,2813.8
2015-01-29,1876.3
2015-01-30,1380.17
2015-01-31,2538.08
2015-02-01,2368.82
2015-02-02,2487.98
2015-02-03,3521.38
2015-02-04,3014.81
2015-02-05,2248.51
2015-02-06,2405.56
2015-02-07,3731.87
2015-02-08,3169.13
2015-02-09,2262.49
2015-02-10,2722.17
2015-02-11,5003.91
2015-02-12,3875.42
2015-02-13,4932.2
2015-02-14,5712.37
2015-02-15,5865.58
2015-02-16,6626.54
2015-02-17,6428.47
2015-02-18,6040.02
2015-02-19,6549.68
2015-02-20,7216.61
2015-02-21,7411.75
2015-02-22,3983.2599999999998
2015-02-23,5094.68
2015-02-24,3729.78
2015-02-25,4471.97
2015-02-26,6437.0199999999995
2015-02-27,8304.93
2015-02-28,5795.75
2015-03-01,5341.91
2015-03-02,4658.12
2015-03-03,7085.4400000000005
2015-03-04,5398.51
2015-03-05,5813.3099999999995
2015-03-06,6200.76
2015-03-07,7616.89
2015-03-08,8151.01
2015-03-09,6567.21
2015-03-10,7932.2300000000005
2015-03-11,5086.55
2015-03-12,7029.09
2015-03-13,7978.97
2015-03-14,8071.26
2015-03-15,9475.55
2015-03-16,8500.68
2015-03-17,10520.01
2015-03-18,10832.22
2015-03-19,11844.67
2015-03-20,11189.02
2015-03-21,10003.32
2015-03-22,8327.84
2015-03-23,10999.0
2015-03-24,11323.44
2015-03-25,8972.35
2015-03-26,7629.74
2015-03-27,7451.88
2015-03-28,9733.3
2015-03-29,9673.32
2015-03-30,7329.0599999999995
2015-03-31,7809.42
2015-04-01,9409.94
2015-04-02,8286.05
2015-04-03,11782.539999999999
2015-04-04,9676.76
2015-04-05,10377.99
2015-04-06,9746.44
2015-04-07,11250.48
2015-04-08,10643.99
2015-04-09,14064.57
2015-04-10,14445.02
2015-04-11,11913.15
2015-04-12,12481.26
2015-04-13,13117.47
2015-04-14,12139.12
2015-04-15,14602.35
2015-04-16,14031.17
2015-04-17,9016.460000000001
2015-04-18,9931.17
2015-04-19,15033.16
2015-04-20,13847.24
2015-04-21,14752.74
2015-04-22,14749.23
2015-04-23,10921.4
2015-04-24,14707.26
2015-04-25,14517.95
2015-04-26,13427.960000000001
2015-04-27,13168.76
2015-04-28,9181.72
2015-04-29,15965.74
2015-04-30,9949.69
2015-05-01,10539.18
2015-05-02,10263.07
2015-05-03,10249.96
2015-05-04,11768.89
2015-05-05,15099.14
2015-05-06,11824.34
2015-05-07,15188.73
2015-05-08,12737.39
2015-05-09,11603.37
2015-05-10,12168.85
2015-05-11,16327.94
2015-05-12,15229.36
2015-05-13,12855.67
2015-05-14,11412.79
2015-05-15,8907.37
2015-05-16,13913.47
2015-05-17,13512.91
2015-05-18,16322.949999999999
2015-05-19,12281.32
2015-05-20,10083.59
2015-05-21,9293.45
2015-05-22,9323.42
2015-05-23,8544.38
2015-05-24,12367.27
2015-05-25,12379.94
2015-05-26,10428.460000000001
2015-05-27,15055.039999999999
2015-05-28,16789.45
2015-05-29,16285.4
2015-05-30,13331.28
2015-05-31,14993.94
2015-06-01,12437.14
2015-06-02,14199.87
2015-06-03,14768.1
2015-06-04,14975.21
2015-06-05,16219.77
2015-06-06,16027.91
2015-06-07,15102.130000000001
2015-06-08,13741.74
2015-06-09,12433.89
2015-06-10,15320.87
2015-06-11,12807.58
2015-06-12,15592.46
2015-06-13,13942.3
2015-06-14,12901.28
2015-06-15,9779.7
2015-06-16,10482.31
2015-06-17,12158.59
2015-06-18,11938.210000000001
2015-06-19,12117.0
2015-06-20,10211.01
2015-06-21,13695.48
2015-06-22,11807.61
2015-06-23,10694.960000000001
2015-06-24,15201.039999999999
2015-06-25,15434.51
2015-06-26,14847.26
2015-06-27,11578.55
2015-06-28,14864.710000000001
2015-06-29,12879.08
2015-06-30,13683.37
2015-07-01,16078.17
2015-07-02,16316.07
2015-07-03,16806.11
2015-07-04,16994.2
2015-07-05,17069.47
2015-07-06,14011.19
2015-07-07,15949.6
2015-07-08,9685.83
2015-07-09,14850.9
2015-07-10,16998.22
2015-07-11,16677.92
2015-07-12,15629.57
2015-07-13,12963.94
2015-07-14,13225.37
2015-07-15,15164.88
2015-07-16,15897.76
2015-07-17,16035.91
2015-07-18,15177.16
2015-07-19,13925.71
2015-07-20,13821.29
2015-07-21,14575.21
2015-07-22,14688.74
2015-07-23,11106.42
2015-07-24,11370.81
2015-07-25,10705.44
2015-07-26,15294.09
2015-07-27,10778.91
2015-07-28,11938.93
2015-07-29,9604.38
2015-07-30,10876.84
2015-07-31,15482.94
2015-08-01,16418.21
2015-08-02,10683.789999999999
2015-08-03,16007.85
2015-08-04,16698.49
2015-08-05,15760.289999999999
2015-08-06,16257.89
2015-08-07,16633.77
2015-08-08,16181.16
2015-08-09,15860.07
2015-08-10,15907.27
2015-08-11,14648.710000000001
2015-08-12,15931.789999999999
2015-08-13,15650.61
2015-08-14,14884.35
2015-08-15,12223.34
2015-08-16,9174.08
2015-08-17,7930.61
2015-08-18,12002.66
2015-08-19,10087.42
2015-08-20,10248.66
