datetime,AT_solar_generation_actual
2015-01-01,721.0
2015-01-02,1116.0
2015-01-03,1282.0
2015-01-04,898.0
2015-01-05,1107.0
2015-01-06,1233.0
2015-01-07,1117.0
2015-01-08,1293.0
2015-01-09,2061.0
2015-01-10,2513.0
2015-01-11,1432.0
2015-01-12,2021.0
2015-01-13,2949.0
2015-01-14,2310.0
2015-01-15,2118.0
2015-01-16,2723.0
2015-01-17,1750.0
2015-01-18,1995.0
2015-01-19,1760.0
2015-01-20,1380.0
2015-01-21,2607.0
2015-01-22,2285.0
2015-01-23,2139.0
2015-01-24,1584.0
2015-01-25,1451.0
2015-01-26,2583.0
2015-01-27,2028.0
2015-01-28,2813.0
2015-01-29,1876.0
2015-01-30,1380.0
2015-01-31,2538.0
2015-02-01,2368.0
2015-02-02,2489.0
2015-02-03,3520.0
2015-02-04,3014.0
2015-02-05,2253.0
2015-02-06,2406.0
2015-02-07,3733.0
2015-02-08,3167.0
2015-02-09,2261.0
2015-02-10,2721.0
2015-02-11,5003.0
2015-02-12,3879.0
2015-02-13,4932.0
2015-02-14,5714.0
2015-02-15,5866.0
2015-02-16,6624.0
2015-02-17,6428.0
2015-02-18,6040.0
2015-02-19,6553.0
2015-02-20,7217.0
2015-02-21,7414.0
2015-02-22,3983.0
2015-02-23,5096.0
2015-02-24,3729.0
2015-02-25,4471.0
2015-02-26,6437.0
2015-02-27,8305.0
2015-02-28,5797.0
2015-03-01,5343.0
2015-03-02,4658.0
2015-03-03,7085.0
2015-03-04,5399.0
2015-03-05,5814.0
2015-03-06,6203.0
2015-03-07,7619.0
2015-03-08,8152.0
2015-03-09,6565.0
2015-03-10,7934.0
2015-03-11,5087.0
2015-03-12,7029.0
2015-03-13,7979.0
2015-03-14,8071.0
2015-03-15,9476.0
2015-03-16,8500.0
2015-03-17,10522.0
2015-03-18,10833.0
2015-03-19,11848.0
2015-03-20,11186.0
2015-03-21,10002.0
2015-03-22,8331.0
2015-03-23,10998.0
2015-03-24,11324.0
2015-03-25,8977.0
2015-03-26,7629.0
2015-03-27,7453.0
2015-03-28,9734.0
2015-03-29,9674.0
2015-03-30,7328.0
2015-03-31,7811.0
2015-04-01,9410.0
2015-04-02,8288.0
2015-04-03,11786.0
